district,name,party,incumbent,winner,raised,spent,state
MI10,Lisa McClain ,R,False,True,2266287,2137031,Michigan
MI10,Kimberly Bizon ,D,False,False,41438,41246,Michigan
MI11,Haley Stevens ,D,True,True,5776924,5707448,Michigan
MI11,Eric Esshaki ,R,False,False,1298612,1291509,Michigan
MI12,Debbie Dingell ,D,True,True,1630498,1689582,Michigan
MI12,Jeff Jones ,R,False,False,10616,9657,Michigan
MI13,Rashida Tlaib ,D,True,True,4014411,3690334,Michigan
MI13,Donald Eason ,I,False,False,34156,34156,Michigan
MI14,Brenda Lawrence ,D,True,True,1084662,789570,Michigan
MI14,Vance Patrick ,R,False,False,39670,41973,Michigan
MN01,Jim Hagedorn ,R,True,True,2386033,2305994,Minnesota
MN01,Daniel Feehan ,D,False,False,4861651,4863835,Minnesota
MN02,Angie Craig ,D,True,True,5380101,4435492,Minnesota
MN02,Tyler Kistner ,R,False,False,2990054,2956042,Minnesota
MN03,Dean Phillips ,D,True,True,2328616,2152031,Minnesota
MN03,Kendall Qualls ,R,False,False,1863927,1751214,Minnesota
MN03,Gary Heyer ,I,False,False,827,827,Minnesota
MN04,Betty McCollum ,D,True,True,1171748,994072,Minnesota
MN04,Gene Rechtzigel ,R,False,False,20075,20075,Minnesota
MN05,Ilhan Omar ,D,True,True,5718517,5605576,Minnesota
MN05,Lacy Johnson ,R,False,False,12050564,12000896,Minnesota
MN05,Chris Kelley ,3,False,False,249583,249583,Minnesota
MN05,Ervan Katari Miller ,I,False,False,255,187,Minnesota
MN06,Tom Emmer ,R,True,True,2804265,2537612,Minnesota
MN06,Tawnja Zahradka ,D,False,False,49242,49214,Minnesota
MN07,Collin Peterson ,D,True,False,2714012,2867577,Minnesota
