,Candidate,Raised,Spent,Cash on Hand,Last Report,state,district
274,Aaron Swisher (D),"$70,674","$70,268","$7,851",12/31/2020,ID,02
275,Bobby L Rush (D)  • Incumbent • Winner,"$541,435","$496,454","$111,621",12/31/2020,IL,01
276,Philanise White (R),"$6,289","$5,048",$928,12/31/2020,IL,01
277,Robin Kelly (D)  • Incumbent • Winner,"$1,634,783","$1,108,137","$1,014,413",12/31/2020,IL,02
278,Marie Newman (D)  • Winner,"$2,802,093","$2,699,323","$102,841",12/31/2020,IL,03
279,Mike Fricilone (R),"$128,458","$127,980",$478,12/31/2020,IL,03
280,Jesus Garcia (D)  • Incumbent • Winner,"$822,846","$711,159","$126,757",12/31/2020,IL,04
281,Jesus Solorio Jr (R),"$2,065",$843,"$1,129",11/23/2020,IL,04
282,Mike Quigley (D)  • Incumbent • Winner,"$1,171,507","$926,655","$1,022,348",12/31/2020,IL,05
283,Sean Casten (D)  • Incumbent • Winner,"$5,582,179","$5,313,570","$346,138",12/31/2020,IL,06
284,Jeanne Ives (R),"$3,157,771","$3,135,464","$22,307",12/31/2020,IL,06
285,Bill Redpath (L),"$9,837","$9,837",$0,11/24/2020,IL,06
286,Danny K Davis (D)  • Incumbent • Winner,"$544,690","$505,506","$243,172",12/31/2020,IL,07
287,Tracy Jennings (3),"$65,283","$65,283",$0,12/03/2020,IL,07
288,Raja Krishnamoorthi (D)  • Incumbent • Winner,"$6,358,878","$2,207,703","$8,427,847",12/31/2020,IL,08
